model,prompt,top-1,top-2,top-3,top-4,top-5,F1,ROC-AUC,PR-AUC
muscall,muscall_prompt,0.04394095434260213,0.14349467902506008,0.2320631651218675,0.3532440782698249,0.4490216271884655,0.016951613713524515,0.5617926040891164,0.08887567581916032
muscall,definition,0.046000686577411604,0.08410573292138689,0.12701682114658427,0.21970477171301064,0.2663920357020254,0.015342761280462512,0.5397120089706151,0.08663656370893946
muscall,definition_no_label_word,0.03535873669756265,0.06865774116031582,0.10230003432887058,0.164778578784758,0.23652591829728803,0.0032078721101582585,0.5392969230619669,0.0893623872015268
muscall,label_random_context,0.11053896326810848,0.3079299691040165,0.40885684860968075,0.4473051836594576,0.48266392035702027,0.0458290392270601,0.601110170818888,0.11033622199087063
muscall,negative_muscall_prompts,0.03844833504977686,0.13971850326124272,0.24098867147270855,0.4229316855475455,0.505664263645726,0.011881855511849638,0.549163342351589,0.08455596358766801
muscall,solo_musical_instrument_sound_of,0.1053896326810848,0.16580844490216273,0.22313765877102643,0.28184002746309644,0.35976656368005494,0.04547029280657886,0.5551815474646766,0.08581382958166517
muscall,this_is_a_recording_of,0.06385169927909372,0.16615173360796429,0.3820803295571576,0.4328870580157913,0.46927566083075867,0.03174923577192153,0.5620905871374678,0.08946318869299022
